edu.ncsu.lib.geodata/drg/historic/backbay-1943.jp2:http {'arcFileParition': 2877, 'compressedSize': 1878894, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908222377, 'arcFileOffset': 44772168}
edu.ncsu.lib.geodata/drg/historic/backbay-1943_lnr.jp2:http {'arcFileParition': 2877, 'compressedSize': 2095249, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909634929, 'arcFileOffset': 85821921}
edu.ncsu.lib.geodata/drg/historic/backsideof15minmaps.jp2:http {'arcFileParition': 2878, 'compressedSize': 1880102, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908626829, 'arcFileOffset': 31908274}
edu.ncsu.lib.geodata/drg/historic/backsideof15minmaps_lnr.jp2:http {'arcFileParition': 2878, 'compressedSize': 2095165, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908406459, 'arcFileOffset': 42282997}
edu.ncsu.lib.geodata/drg/historic/barco-1941_army.jp2:http {'arcFileParition': 2879, 'compressedSize': 1874926, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908221159, 'arcFileOffset': 30083044}
edu.ncsu.lib.geodata/drg/historic/barco-1941_army_lnr.jp2:http {'arcFileParition': 2879, 'compressedSize': 2094233, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909020060, 'arcFileOffset': 60700685}
edu.ncsu.lib.geodata/drg/historic/beckford-1941_army.jp2:http {'arcFileParition': 4309, 'compressedSize': 1878495, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909187677, 'arcFileOffset': 5324285}
edu.ncsu.lib.geodata/drg/historic/beckford-1941_army_lnr.jp2:http {'arcFileParition': 4309, 'compressedSize': 2093817, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908932386, 'arcFileOffset': 28016203}
edu.ncsu.lib.geodata/drg/historic/belhaven-1916.jp2:http {'arcFileParition': 2900, 'compressedSize': 1880257, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908486496, 'arcFileOffset': 23936584}
edu.ncsu.lib.geodata/drg/historic/belhaven-1916_lnr.jp2:http {'arcFileParition': 2900, 'compressedSize': 2095448, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908486496, 'arcFileOffset': 4180183}
edu.ncsu.lib.geodata/drg/historic/belhaven-1916r.jp2:http {'arcFileParition': 2900, 'compressedSize': 1879752, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908771400, 'arcFileOffset': 93938870}
edu.ncsu.lib.geodata/drg/historic/belhaven-1916r_lnr.jp2:http {'arcFileParition': 2901, 'compressedSize': 2094087, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908228601, 'arcFileOffset': 15942623}
edu.ncsu.lib.geodata/drg/historic/bladenboro-1957.jp2:http {'arcFileParition': 2901, 'compressedSize': 1879729, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909088556, 'arcFileOffset': 175753}
edu.ncsu.lib.geodata/drg/historic/bladenboro-1957_lnr.jp2:http {'arcFileParition': 2902, 'compressedSize': 2095240, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908228488, 'arcFileOffset': 32475624}
edu.ncsu.lib.geodata/drg/historic/blowingrock-1936.jp2:http {'arcFileParition': 2901, 'compressedSize': 1877991, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909390544, 'arcFileOffset': 88846333}
edu.ncsu.lib.geodata/drg/historic/blowingrock-1936_lnr.jp2:http {'arcFileParition': 2902, 'compressedSize': 2095625, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908920089, 'arcFileOffset': 77266992}
edu.ncsu.lib.geodata/drg/historic/bolivia-1944_army.jp2:http {'arcFileParition': 2903, 'compressedSize': 1879189, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908228262, 'arcFileOffset': 95882562}
edu.ncsu.lib.geodata/drg/historic/bolivia-1944_army_lnr.jp2:http {'arcFileParition': 2903, 'compressedSize': 2094887, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909477533, 'arcFileOffset': 7846489}
edu.ncsu.lib.geodata/drg/historic/bolton-1954.jp2:http {'arcFileParition': 2903, 'compressedSize': 1879567, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909163783, 'arcFileOffset': 71398758}
edu.ncsu.lib.geodata/drg/historic/bolton-1954_lnr.jp2:http {'arcFileParition': 2904, 'compressedSize': 2094157, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908510587, 'arcFileOffset': 90588203}
edu.ncsu.lib.geodata/drg/historic/boydton-1955.jp2:http {'arcFileParition': 2904, 'compressedSize': 1878470, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908510587, 'arcFileOffset': 50334746}
edu.ncsu.lib.geodata/drg/historic/boydton-1955_lnr.jp2:http {'arcFileParition': 2904, 'compressedSize': 2095261, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909379860, 'arcFileOffset': 87121391}
edu.ncsu.lib.geodata/drg/historic/boykins-1920.jp2:http {'arcFileParition': 2924, 'compressedSize': 1878968, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908231454, 'arcFileOffset': 92369305}
edu.ncsu.lib.geodata/drg/historic/burgaw-1942_army.jp2:http {'arcFileParition': 2924, 'compressedSize': 1879637, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908231454, 'arcFileOffset': 69987555}
edu.ncsu.lib.geodata/drg/historic/burgaw-1942_army_lnr.jp2:http {'arcFileParition': 2924, 'compressedSize': 2094807, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909012758, 'arcFileOffset': 67125187}
edu.ncsu.lib.geodata/drg/historic/calabash-1943.jp2:http {'arcFileParition': 2925, 'compressedSize': 1879844, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908469353, 'arcFileOffset': 568581}
edu.ncsu.lib.geodata/drg/historic/calabash-1943_lnr.jp2:http {'arcFileParition': 2925, 'compressedSize': 2094319, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909177617, 'arcFileOffset': 24654177}
edu.ncsu.lib.geodata/drg/historic/capefear-1942.jp2:http {'arcFileParition': 2926, 'compressedSize': 1882511, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908509271, 'arcFileOffset': 20499003}
